id,member_id,property_id,client_id,pro_title,pro_actual_qty,pro_actual_price,pro_type,pro_price,pro_qty,pro_location,discount,promo_price,amount_paid,amount_pending,status,created_date
1,4561352,3,1,Registered Survey,119,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,0,600000,900000,0,unpaid,1506684749
2,4561352,3,2,Registered Survey,118,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,600000,600000,0,unpaid,1507742570
3,4561352,3,3,Registered Survey,117,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,600000,600000,0,unpaid,1508419262
4,4561391,3,4,Registered Survey,116,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,600000,600000,0,unpaid,1508752792
5,4561406,3,5,Registered Survey,115,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,600000,600000,0,unpaid,1512482676
6,4561406,3,6,Registered Survey,79,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1513182261
7,4561406,3,7,Registered Survey,78,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1513183235
8,4561406,3,8,Registered Survey,77,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1513184233
9,4561396,3,9,Registered Survey,76,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1513185230
10,4561352,3,10,Registered Survey,62,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,0,0,900000,0,unpaid,1550664313
11,4561433,3,11,Registered Survey,51,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,100000,0,800000,0,unpaid,1550668669
12,4561406,3,12,Registered Survey,50,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550669299
13,4561352,3,13,Registered Survey,49,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550669952
14,4561352,3,14,Registered Survey,48,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550671048
15,4561352,3,15,Registered Survey,45,,Land,900000,3,Vatican Garden Estate Phase 1 Asaba,600000,0,2100000,0,unpaid,1550674652
16,4561406,3,16,Registered Survey,44,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550675282
17,4561374,3,17,Registered Survey,43,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,200000,0,700000,0,unpaid,1550676129
18,4561352,3,18,Registered Survey,42,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550676509
19,4561406,3,19,Registered Survey,38,,Land,900000,4,Vatican Garden Estate Phase 1 Asaba,1200000,0,2400000,0,unpaid,1550676947
20,4561374,3,20,Registered Survey,36,,Land,900000,2,Vatican Garden Estate Phase 1 Asaba,600000,0,1200000,0,unpaid,1550677400
21,4561406,3,21,Registered Survey,35,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550677759
22,4561406,3,22,Registered Survey,34,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550678110
23,4561396,3,23,Registered Survey,33,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550678926
24,4561406,3,24,Registered Survey,32,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550679273
25,4561406,3,25,Registered Survey,31,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550679558
26,4561406,3,26,Registered Survey,30,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550742087
27,4561391,3,27,Registered Survey,29,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550742696
28,4561413,3,28,Registered Survey,27,,Land,900000,2,Vatican Garden Estate Phase 1 Asaba,200000,0,1600000,0,unpaid,1550743674
29,4561406,3,29,Registered Survey,26,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,300000,0,600000,0,unpaid,1550744200
30,4561576,3,30,Registered Survey,25,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1550745367
31,4561440,3,31,Registered Survey,23,,Land,900000,2,Vatican Garden Estate Phase 1 Asaba,400000,0,1400000,0,unpaid,1550749153
32,4561577,3,32,Registered Survey,21,,Land,900000,2,Vatican Garden Estate Phase 1 Asaba,200000,0,1600000,0,unpaid,1550751293
33,4561577,3,33,Registered Survey,18,,Land,900000,3,Vatican Garden Estate Phase 1 Asaba,300000,0,2400000,0,unpaid,1550752081
34,4561511,5,34,Registered Survey & Layout Plan,85,,Land,1000000,1,"BEACHFIELD ESTATE-EPE, LAGOS",150000,850000,850000,0,unpaid,1550752800
35,4561365,5,35,Registered Survey & Layout Plan,84,,Land,1000000,1,"BEACHFIELD ESTATE-EPE, LAGOS",150000,850000,850000,0,unpaid,1550753184
36,4561578,3,36,Registered Survey,17,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,150000,0,750000,0,unpaid,1552045293
37,4561554,8,37,Registered Survey,0,,Land,1000000,2,Vatican Garden Estate Phase 1 Asaba- Commercial ,0,0,2000000,0,unpaid,1552046910
38,4561554,6,38,Registered Survey,6,,Land,1020000,2,Vatican Garden Estate Phase 1 Asaba Corner Piece,40000,0,2000000,0,unpaid,1552047434
39,4561554,3,39,Registered Survey,15,,Land,900000,2,Vatican Garden Estate Phase 1 Asaba,100000,0,1700000,0,unpaid,1552048045
40,4561375,5,40,Registered Survey & Layout Plan,83,,Land,1000000,1,"BEACHFIELD ESTATE-EPE, LAGOS",150000,850000,850000,0,unpaid,1552048385
41,4561352,3,41,Registered Survey,13,,Land,900000,2,Vatican Garden Estate Phase 1 Asaba,1800000,0,0,0,unpaid,1552048957
42,4561561,5,42,Registered Survey & Layout Plan,82,,Land,1000000,1,"BEACHFIELD ESTATE-EPE, LAGOS",150000,850000,850000,0,unpaid,1556799492
43,4561771,3,43,Registered Survey,21,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1559921335
44,4561812,3,44,Registered Survey,20,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1564675556
45,4561850,3,45,Registered Survey,19,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1566207944
46,4561812,3,46,Registered Survey,17,,Land,900000,2,Vatican Garden Estate Phase 1 Asaba,100000,0,1700000,0,unpaid,1566385502
47,4561824,9,47,Registered Survey,1,,Land,1020000,1,Vatican Garden Estate Asaba Phase 1 Commercial.,20000,0,1000000,0,unpaid,1566390465
48,4561824,3,48,Registered Survey,16,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1566391357
49,4561394,3,49,Registered Survey,15,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1567085297
50,4561352,3,50,Registered Survey,14,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,200000,0,700000,0,unpaid,1567090871
55,4561954,3,55,Registered Survey,8,,Land,900000,2,Vatican Garden Estate Phase 1 Asaba,100000,0,1700000,0,unpaid,1572268257
51,4561880,3,51,Registered Survey,13,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1568296945
52,4561850,3,52,Registered Survey,12,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1568633593
53,4561850,3,53,Registered Survey,11,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1568634930
54,4561850,3,54,Registered Survey,10,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1568635927
56,4561954,3,56,Registered Survey,5,,Land,900000,3,Vatican Garden Estate Phase 1 Asaba,150000,0,2550000,0,unpaid,1574258942
57,4561580,3,57,Registered Survey,3,,Land,900000,2,Vatican Garden Estate Phase 1 Asaba,100000,0,1700000,0,unpaid,1574771826
58,4561771,10,58,SURVEY ,24,,LAND,3000000,1,VATICAN GARDEN ESTATE -ENUGU (REGULAR),120000,0,2880000,0,unpaid,1574779408
59,4561352,12,59,SURVEY ,3,,LAND,2500000,1,VATICAN GARDEN ESTATE -ENUGU (HALF PLOTS),500000,0,2000000,0,unpaid,1574963625
60,4562016,3,60,Registered Survey,2,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1575390474
61,4561977,3,61,Registered Survey,1,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1575642991
62,4562016,3,62,Registered Survey,0,,Land,900000,1,Vatican Garden Estate Phase 1 Asaba,50000,0,850000,0,unpaid,1576511752
